,Unnamed: 0,label,url_type,scheme,netloc,path,params,query,fragment,port,ip_1,ip_2,ip_3,ip_4,ip,contains [,contains ],contains {,contains },contains (,contains ),contains ;,contains :,contains ',contains @,contains #,contains ~,contains <,contains >,"contains ,",contains .,contains ?,contains /,contains \,contains |,contains `,contains ¬,contains !,"contains """,contains ^,contains &,contains *,contains -,contains _,contains +,contains =,contains %,contains $,contains £,url length,https,top_level_domain,netloc_length,path_length,params_length,query_length,fragment_length,asn_reg,asn,asn_country_code,asn_date,nets_country_code,status_code,is_redirect,server,expires,content_length,content_type,x_powered_by,tld_ca,tld_com,tld_cx,tld_edu,tld_fr,tld_gov,tld_jp,tld_net,tld_org,tld_ro,tld_ru,tld_tw,tld_uk,servers_ATS,servers_Apache,servers_Apache/2.4.29 (Ubuntu),servers_Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/7.1.33,servers_Apache/2.4.6 (CentOS) PHP/5.4.16,servers_CloudFront,servers_ECD (nya/79C5),servers_GSE,servers_Microsoft-IIS/10.0,servers_Microsoft-IIS/7.5,servers_Microsoft-IIS/8.5,servers_NR_WEB,servers_NginX,servers_Server,servers_UploadServer,servers_Varnish,servers_cloudflare,servers_mw1391.eqiad.wmnet,servers_nginx,servers_nginx/1.16.1,servers_openresty,asn_country_code_BG,asn_country_code_BR,asn_country_code_CA,asn_country_code_CN,asn_country_code_CY,asn_country_code_FR,asn_country_code_GB,asn_country_code_IN,asn_country_code_JP,asn_country_code_NL,asn_country_code_RU,asn_country_code_US,nets_country_code_BG,nets_country_code_CA,nets_country_code_CN,nets_country_code_EU,nets_country_code_FR,nets_country_code_IE,nets_country_code_IN,nets_country_code_JP,nets_country_code_NL,nets_country_code_RU,nets_country_code_US,status_code_403.0,status_code_404.0,status_code_406.0,status_code_503.0,status_code_999.0,asn_reg_arin,asn_reg_lacnic,asn_reg_ripencc,x_powered_by_ASP.NET,x_powered_by_Express,x_powered_by_PHP/5.4.16,x_powered_by_PHP/5.6.40,x_powered_by_PHP/7.1.33,x_powered_by_W3 Total Cache/0.11.0,x_powered_by_science!
249,928107,1,0,http,79.143.25.235,/lmaoWTF/loligang.ppc,,,,80,79,143,25,235,79.143.25.235,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,13,21,0,0,0,ripencc,50340,RU,2007/11/20,RU,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
290,347014,1,0,http,182.114.124.72:33056,/i,,,,33056,182,114,124,72,182.114.124.72,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,20,2,0,0,0,apnic,4837,CN,2010/3/2,CN,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,59447,0,1,http,www.ca.sports.yahoo.com,/nba/news,,slug=ycn-8332241,,80,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,56,0,com,23,9,0,16,0,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,681825,1,0,http,115.99.232.128:47896,/Mozi.m,,,,47896,115,99,232,128,115.99.232.128,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,20,7,0,0,0,apnic,17488,IN,2008/7/25,IN,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,68613,0,1,http,www.dhavernas.ucoz.ru,/,,,,80,195,216,243,102,195.216.243.102,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,ru,21,1,0,0,0,ripencc,57724,CY,2008/5/16,RU,200,FALSE,nginx,0,0,text/html; charset=UTF-8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
120,3702,0,1,https,www.adevarul.ro,,,,,443,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,ro,15,0,0,0,0,,,,,,200,FALSE,nginx,"Thu, 19 Nov 1981 08:52:00 GMT",79787,text/html; charset=utf-8,science!,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
257,394881,1,1,http,www.nijahostingresellers.com,/obe/obi/cp.php,,letter=login,,80,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,63,0,com,28,15,0,12,0,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,193558,1,0,http,219.157.214.63:40734,/Mozi.m,,,,40734,219,157,214,63,219.157.214.63,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,20,7,0,0,0,apnic,4837,CN,2002/3/21,CN,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,311596,0,1,https,www.nydailynews.com,/topics/Maurice%20Barrow,,,,443,2,16,167,51,2.16.167.51,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,51,1,com,19,24,0,0,0,ripencc,20940,NL,2010/9/10,EU,403,FALSE,nginx,0,146,text/html,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
122,353479,0,1,http,www.torrentscoop.com,/gainsbourg-vie-heroique-torrent/index.html,,,,80,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,70,0,com,20,43,0,0,0,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
